City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,east london,-33.0153,27.9116,18.87,34,0,4.01,ZA,1686514013
156,kodiak,57.79,-152.4072,8.73,81,100,5.14,US,1686514013
157,anatoli,39.6389,20.8653,16.63,87,97,0.51,GR,1686514013
158,lillehammer,61.1146,10.4674,16.83,52,50,3.64,NO,1686514013
159,ust-nera,64.5667,143.2,16.7,61,100,3.89,RU,1686513861
160,maba,24.6841,113.5984,23.88,89,71,0.46,CN,1686514014
161,guane,22.2025,-84.0875,32.29,58,33,4.92,CU,1686514014
162,sola,-13.8833,167.55,26.15,76,63,10.29,VU,1686513419
163,barcelos,41.5388,-8.6151,21.06,90,94,1.17,PT,1686513852
164,sandnessjoen,66.0217,12.6316,12.29,98,75,4.63,NO,1686514014
165,uliastay,47.7417,96.8444,16.26,52,58,3.04,MN,1686514014
166,shimo-furano,43.35,142.3833,14.4,94,69,1.72,JP,1686514014
167,puerto baquerizo moreno,-0.9,-89.6,28.55,70,40,6.17,EC,1686513870
168,ypsonas,34.6884,32.9574,21.54,83,0,4.12,CY,1686514014
169,am timan,11.0297,20.2827,29.61,57,22,0.82,TD,1686514015
170,hadibu,12.65,54.0333,27.93,80,99,7.41,YE,1686514015
171,klyuchi,52.2667,79.1667,14.76,63,0,2.09,RU,1686514015
172,zhanaozen,43.3,52.8,28.31,15,17,8.32,KZ,1686514015
173,dryden,49.7833,-92.7503,21.16,37,20,3.6,CA,1686513906
174,qui nhon,13.7667,109.2333,28.93,71,100,4.38,VN,1686514015
175,portage la prairie,49.9728,-98.2926,24.5,21,8,2.58,CA,1686513891
176,malvan,16.0667,73.4667,28.53,79,12,6.69,IN,1686513883
177,argo,37.6333,22.7333,20.44,80,4,0.84,GR,1686513897
178,tual,-5.6667,132.75,27.14,80,90,8.05,ID,1686513416
179,severo-yeniseyskiy,60.3725,93.0408,3.89,74,0,1.94,RU,1686513860
180,ouled mimoun,34.9047,-1.0339,20.01,55,0,1.87,DZ,1686514016
181,grand-bourg,15.8835,-61.3148,30.97,78,8,8.32,GP,1686514016
182,palikir - national government center,6.9248,158.1611,27.41,83,100,2.57,FM,1686514016
183,afaahiti,-17.75,-149.2833,26.93,68,98,7.06,PF,1686514016
184,vorgashor,67.5833,63.95,0.3,80,100,8.78,RU,1686513856
185,kone,-21.0595,164.8658,17.89,74,0,2.24,NC,1686514016
186,atafu village,-8.5421,-172.5159,29.0,73,100,7.23,TK,1686514016
187,selfoss,63.9331,-20.9971,11.69,72,88,6.4,IS,1686514016
188,nova sintra,14.8667,-24.7167,22.45,83,7,10.59,CV,1686514016
189,bull savanna,17.8868,-77.5902,28.98,68,51,7.59,JM,1686514016
190,mount pearl,47.5166,-52.7813,7.2,96,100,8.23,CA,1686514017
191,saguenay,48.4168,-71.0657,23.93,52,54,0.89,CA,1686514017
192,monterey,36.2505,-121.2516,22.4,38,53,1.96,US,1686514017
193,san martin de los andes,-40.1604,-71.3486,2.11,93,28,2.07,AR,1686513627
194,thompson,55.7435,-97.8558,28.81,23,100,4.38,CA,1686514017
195,hovd,48.0056,91.6419,21.09,43,1,1.08,MN,1686514017
196,ar rahad,12.7167,30.65,27.82,60,88,3.6,SD,1686514017
197,touros,-5.1989,-35.4608,25.03,88,13,4.58,BR,1686514017
198,murun-kuren,49.6342,100.1625,14.89,92,100,1.75,MN,1686514017
199,srivardhan,18.0333,73.0167,28.55,80,96,7.57,IN,1686514017
200,tralee,52.2704,-9.7026,16.39,85,44,2.08,IE,1686514017
201,constantia,44.1833,28.65,17.61,82,92,2.91,RO,1686513818
202,governador valadares,-18.8511,-41.9494,28.16,47,60,1.94,BR,1686514018
203,putyvl',51.3374,33.8707,10.99,81,100,7.35,UA,1686513956
204,badger,64.8,-147.5333,18.06,40,75,6.69,US,1686513855
205,lerwick,60.1545,-1.1494,12.0,92,100,4.21,GB,1686514018
206,jieshi,22.8134,115.8257,26.59,86,100,3.86,CN,1686514018
207,la'ie,21.6477,-157.9253,29.98,70,18,4.02,US,1686514018
208,mossel bay,-34.1831,22.146,15.73,60,100,4.38,ZA,1686514018
209,forster,-32.1667,152.5167,10.48,84,76,2.09,AU,1686514018
210,mount gambier,-37.8333,140.7667,9.55,75,31,4.3,AU,1686514018
211,mangrol,21.1167,70.1167,28.52,75,79,12.9,IN,1686514019
212,sydney,-33.8679,151.2073,9.66,88,93,3.6,AU,1686513463
213,ancud,-41.8697,-73.8203,8.41,77,62,0.86,CL,1686513751
214,hermanus,-34.4187,19.2345,14.89,88,100,6.39,ZA,1686514019
215,gobernador virasora,-28.05,-56.0333,14.26,60,98,2.68,AR,1686514019
216,queenstown,-31.8976,26.8753,9.59,33,0,2.85,ZA,1686513967
217,rasskazovo,52.6714,41.9033,12.67,59,100,6.92,RU,1686514019
218,colon,9.3592,-79.9014,26.62,75,100,1.34,PA,1686514019
219,marquette,46.5333,-87.6335,12.36,70,0,3.13,US,1686514019
220,bengkulu,-3.8004,102.2655,23.76,93,13,2.07,ID,1686514019
221,shingu,33.7333,135.9833,21.09,97,100,0.96,JP,1686514020
222,laminusa,5.5549,120.9136,28.69,77,73,3.25,PH,1686514020
223,saint-pierre,-21.3393,55.4781,22.82,64,0,2.06,RE,1686514020
224,vilyeyka,54.4896,26.9062,9.4,58,0,2.65,BY,1686514020
225,gandajika,-6.75,23.95,23.26,40,31,0.92,CD,1686514020
226,alofi,-19.0595,-169.9187,22.94,94,95,3.09,NU,1686513424
227,happy valley-goose bay,53.3168,-60.3315,17.17,51,40,5.66,CA,1686513964
228,mil'kovo,55.6078,37.7956,13.52,62,96,4.5,RU,1686514020
229,vadso,70.0744,29.7487,20.49,54,40,2.06,NO,1686514020
230,dondo,-19.6094,34.7431,21.73,91,0,2.03,MZ,1686514020
231,jamestown,42.097,-79.2353,26.96,36,20,6.17,US,1686513820
232,kangding,30.0513,101.9603,10.02,90,100,0.88,CN,1686514021
233,hasaki,35.7333,140.8333,20.22,94,100,3.01,JP,1686514021
234,tamanrasset,22.785,5.5228,25.95,41,40,4.63,DZ,1686514021
235,kiunga,-6.1219,141.2906,23.2,100,99,0.87,PG,1686513897
236,filadelfia,39.9523,-75.1638,32.19,37,75,6.69,US,1686513880
237,tobruk,32.0836,23.9764,21.79,75,3,3.34,LY,1686514021
238,labrador city,52.9463,-66.9114,18.43,50,82,3.8,CA,1686514021
239,pangody,65.85,74.4859,7.85,73,74,3.97,RU,1686514021
240,colonia,50.9333,6.95,26.01,43,0,2.06,DE,1686513859
